# split=test
# Blind human labels: put A, D or B in the last column, following RUBRIC.md.
# Rows left blank are dropped from the estimate, which biases it toward easy rows, so guess when unsure.
# Do not open checkpoint*.jsonl or audit_report_*.txt before finishing: they contain the labels.
id	text	label
566	In this task, you are given a high-level goal 'How to Make Pea and Pecan Salad': Combining peas and pecans makes for a crunchy-textured salad that even the kids will enjoy. Pea and pecan salads can be made in various ways, and a few are offered here. You need to assist human user [...248 chars cut...] es on each salad serving plate. Pour an equal amount of the pecan and pea mix on each lettuce leaf. Cover in mayonnaise.	
379	How is a mechanical watch put together?	
223	The price of gold and "白银" from 2005	
683	Generate an educational tutuorial that consists of both text and multiple images, where text content and images can be interleaved in an arbitrary order. You should follow the instruction in the following topic: Mathematics Tutorials: Create step-by-step tutorials that explain al [...103 chars cut...] emonstrating each step of solving an equation, with clear annotations to highlight important points and common pitfalls.	
227	Educational Content Creator ⦁ Designed curriculum for online study App for ages 3-8. ⦁ Designed main characters and activities for educational videos, and wrote scripts for the videos in a fun and understandable way. ⦁ Collaborated with the British department to create songs for  [...25 chars cut...] the illustration department to create pictures that enhance the storytelling experience for students. can you change it?	
569	Today we are gonna create Images with a Diffusion model. I am gonna feed you some information about it. Understood?	
311	close-up macro portrait of the face of a Joe Biden ram skull mask, epic angle and pose, ribcage skeleton symmetrical artwork, 3d with depth of field, blurred background, cybernetic jellyfish female face skull phoenix bird, translucent, nautilus, energy flows of water and fire. a  [...216 chars cut...] c, very inspirational, arthouse. y Greg Rutkowski, Ilya Kuvshinov, WLOP, Stanley Artgerm Lau, Ruan Jia and Fenghua Zhong	
573	In this task, you are given a high-level goal 'How to Zest a Lime': The zest of a lime is the outer green layer of peel, which contains fragrant and flavorful oils. Lime zest adds intense flavor to cocktails, desserts and a number of other recipes. The easiest tool for creating f [...574 chars cut...] lace the lime on a cutting board and hold it with your non-dominant hand. Position the vegetable peeler or paring knife.	
195	Guide me through bone fracture repair from start to finish	
444	Generate a visual story that consists of both text and multiple images, where text content and images can be interleaved in an arbitrary order. You should follow the instruction in the following theme: The Firebird’s Song: A magical firebird’s song can heal any wound, but a young [...141 chars cut...] g, and Aria's musical journey. Illustrate scenes of Aria seeking the firebird and the moment its song heals her village.	
394	What are spherical roller bearings and where are they used?	
608	In this task, you are given a high-level goal 'How to Make an Illuminated Bird Bath': Ideal for a wedding or romantic event, you can add flowers and lighting to a backyard birdbath to create interest and beauty. Collect your favorite flower and floating candles to help the bride, [...329 chars cut...] ’s décor. Fill the birdbath or container with water. Remove the petals from the flowers. Select floating votive candles.	
120	Walk me through watercolor wet-on-wet step by step	
173	how to make a picture stay in the top left corner of a webpage using css	
461	Summarize the rulers of the territory of Albania in this time period.	
153	a centered render of an alien bio - organic goddess adorned with cables and synthesizer parts is surrounded by sacred geometry, full body, gorgeous face, perfect face, powerful, cinematic, beautifully lit, by artgerm, by karol bak, 3 d, trending on artstation, octane render, 8 k	
283	Hello! Can you give prompts to create a picture according to the description with Spock	
455	write a midjourney prompt to create an image of a 8 year old caucasian boy with a white tank top on holding a round cookie in one hand and a round cookie cutter in the other and both hands are showing the cookie and cookie cutter to the camera	
430	Teach me cake decorating with fondant for beginners	
106	Help me think of an advertisement for a quilt, or a promotion copy	
353	In this task, you are given a high-level goal 'How to Make a Shadow Box': None You need to assist human user to complete this task via preparing to build the shadow box. Given the previous steps, you need to predict the subsequent 2 steps to help the user to finish the task. The  [...24 chars cut...] er your supplies. Decide what you'd like to place inside the shadow box first. Consider the typical shadow box contents.	
92	In this task, you are given a high-level goal 'How to Care for Hardwood Floors': Taking proper care of hardwood floors is essential if you want them to last a long time. Routine cleaning is the key to protecting and maintaining your floor’s appearance. Particular cleaning protoco [...430 chars cut...] nt 2 steps to help the user to finish the task. The previous steps are: Dust every day with a microfiber mop or Swiffer.	
618	With 4-5 photos, design and create a Photo Essay (Visual Storytelling) with the theme: "Ani Ng Sining, Bunga Ng Galing" in celebration of the National Arts Month 2023. Can you help me by creating an outline or idea of the pictures which can all be done in a common household here in the Philippines? Thank you.	
502	In this task, you are given a high-level goal 'How to Eat Dried Dates': A date is a sweet and versatile fruit that can be used in a variety of dishes. Although dates can be eaten both fresh and dried, dried dates are more common. Dried dates are simple to prepare, and they can be [...281 chars cut...] t the subsequent 4 steps to help the user to finish the task. The previous steps are: Eat dried dates for an easy snack.	
633	Make presentation about "Flange Facing Types"	
334	Now, write a short story about two nuns who kept their love secret one day decided to elope, in the style of Bible verses	
341	Haz un poema sobre monos, el baile y la vida, que rime en cada verso, y que sea como una historia con un plot twist al final.	
25	What does the chambers of the heart look like in detail?	
80	a stunning stained glass window of a beautiful alison brie dressed as poison ivy with white skin and with hair tied in a braid, dark eyeliner, intricate, elegant, highly detailed, digital painting, artstation, concept art, sharp focus, illustration, art by greg rutkowski and alphonse mucha	
112	Explain economics with an example.	
705	Dame 5 opciones para el titulo de una cancion de protesta de estilo metal que trata sobre la perdida de empleos debido a la IA.	
710	In this task, you are given a high-level goal 'How to Make Watercolors Using Magic Markers': Watercolor paints offer a fun, easy way for children to express themselves creatively. You can buy watercolor sets at many stores, but you can actually make your own with dried-out marker [...409 chars cut...]  predict the subsequent 2 steps to help the user to finish the task. The previous steps are: Group the markers by color.	
605	cute magical fantasy animals at a beach looking at the moon, realistic, concept art, highly detailed	
