task,metric,model,kind,parameters_billion,score,open_weights,on_displayed_frontier,evidence_type,observation_id,revision,native_artifact_sha256
ArXivHierarchicalClusteringP2P,v_measure,minishlab/M2V_base_glove_subword,peer,0.103,53.0247,True,False,registry_reported,registry_reported:minishlab/M2V_base_glove_subword,,
ArXivHierarchicalClusteringP2P,v_measure,cnmoro/static-nomic-384-pten-v2-st,peer,0.106,49.7028,True,False,registry_reported,registry_reported:cnmoro/static-nomic-384-pten-v2-st,,
ArXivHierarchicalClusteringP2P,v_measure,hotchpotch/bekko-embedding-v1-a8m,peer,0.106,54.496,True,False,registry_reported,registry_reported:hotchpotch/bekko-embedding-v1-a8m,,
ArXivHierarchicalClusteringP2P,v_measure,DeepPavlov/distilrubert-small-cased-conversational,peer,0.107,48.8063,True,False,registry_reported,registry_reported:DeepPavlov/distilrubert-small-cased-conversational,,
ArXivHierarchicalClusteringP2P,v_measure,DeepPavlov/rubert-base-cased-sentence,peer,0.107,49.744899999999994,True,False,registry_reported,registry_reported:DeepPavlov/rubert-base-cased-sentence,,
ArXivHierarchicalClusteringP2P,v_measure,ibm-granite/granite-embedding-107m-multilingual,peer,0.107,55.0976,True,False,registry_reported,registry_reported:ibm-granite/granite-embedding-107m-multilingual,,
ArXivHierarchicalClusteringP2P,v_measure,sentence-transformers/static-similarity-mrl-multilingual-v1,peer,0.108,47.7162,True,False,registry_reported,registry_reported:sentence-transformers/static-similarity-mrl-multilingual-v1,,
ArXivHierarchicalClusteringP2P,v_measure,BAAI/bge-base-en-v1.5,peer,0.109,60.682568390916295,True,False,registry_reported,registry_reported:BAAI/bge-base-en-v1.5,,
ArXivHierarchicalClusteringP2P,v_measure,Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet,peer,0.109,50.11409999999999,True,False,registry_reported,registry_reported:Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet,,
ArXivHierarchicalClusteringP2P,v_measure,Snowflake/snowflake-arctic-embed-m,peer,0.109,57.497299999999996,True,False,registry_reported,registry_reported:Snowflake/snowflake-arctic-embed-m,,
ArXivHierarchicalClusteringP2P,v_measure,Snowflake/snowflake-arctic-embed-m-v1.5,peer,0.109,56.388799999999996,True,False,registry_reported,registry_reported:Snowflake/snowflake-arctic-embed-m-v1.5,,
ArXivHierarchicalClusteringP2P,v_measure,avsolatorio/GIST-Embedding-v0,peer,0.109,59.5916,True,False,registry_reported,registry_reported:avsolatorio/GIST-Embedding-v0,,
ArXivHierarchicalClusteringP2P,v_measure,infgrad/stella-base-en-v2,peer,0.109,59.992999999999995,True,False,registry_reported,registry_reported:infgrad/stella-base-en-v2,,
ArXivHierarchicalClusteringP2P,v_measure,intfloat/e5-base,peer,0.109,55.16,True,False,registry_reported,registry_reported:intfloat/e5-base,,
ArXivHierarchicalClusteringP2P,v_measure,intfloat/e5-base-v2,peer,0.109,57.96287997107758,True,False,registry_reported,registry_reported:intfloat/e5-base-v2,,
ArXivHierarchicalClusteringP2P,v_measure,sentence-transformers/all-mpnet-base-v2,peer,0.109,61.47339210179387,True,False,registry_reported,registry_reported:sentence-transformers/all-mpnet-base-v2,,
ArXivHierarchicalClusteringP2P,v_measure,thenlper/gte-base,peer,0.109,59.3139,True,False,registry_reported,registry_reported:thenlper/gte-base,,
ArXivHierarchicalClusteringP2P,v_measure,jinaai/jina-embedding-b-en-v1,peer,0.11,51.7135,True,False,registry_reported,registry_reported:jinaai/jina-embedding-b-en-v1,,
ArXivHierarchicalClusteringP2P,v_measure,dwzhu/e5-base-4k,peer,0.112,55.2846,True,False,registry_reported,registry_reported:dwzhu/e5-base-4k,,
ArXivHierarchicalClusteringP2P,v_measure,Lajavaness/bilingual-embedding-small,peer,0.118,55.2794,True,False,registry_reported,registry_reported:Lajavaness/bilingual-embedding-small,,
ArXivHierarchicalClusteringP2P,v_measure,Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,peer,0.118,52.6815,True,False,registry_reported,registry_reported:Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,,
ArXivHierarchicalClusteringP2P,v_measure,intfloat/multilingual-e5-small,peer,0.118,52.699,True,False,registry_reported,registry_reported:intfloat/multilingual-e5-small,,
ArXivHierarchicalClusteringP2P,v_measure,sdadas/mmlw-e5-small,peer,0.118,59.169000000000004,True,False,registry_reported,registry_reported:sdadas/mmlw-e5-small,,
ArXivHierarchicalClusteringP2P,v_measure,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,peer,0.118,53.61794435755446,True,False,registry_reported,registry_reported:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,,
ArXivHierarchicalClusteringP2P,v_measure,shibing624/text2vec-base-multilingual,peer,0.118,49.3802,True,False,registry_reported,registry_reported:shibing624/text2vec-base-multilingual,,
ArXivHierarchicalClusteringP2P,v_measure,hotchpotch/bekko-embedding-v1-a25m,peer,0.123,55.1511,True,False,registry_reported,registry_reported:hotchpotch/bekko-embedding-v1-a25m,,
ArXivHierarchicalClusteringP2P,v_measure,deepvk/deberta-v1-base,peer,0.124,49.234899999999996,True,False,registry_reported,registry_reported:deepvk/deberta-v1-base,,
ArXivHierarchicalClusteringP2P,v_measure,sdadas/mmlw-roberta-base,peer,0.124,60.6571,True,False,registry_reported,registry_reported:sdadas/mmlw-roberta-base,,
ArXivHierarchicalClusteringP2P,v_measure,ibm-granite/granite-embedding-125m-english,peer,0.125,57.2516,True,False,registry_reported,registry_reported:ibm-granite/granite-embedding-125m-english,,
ArXivHierarchicalClusteringP2P,v_measure,minishlab/potion-multilingual-128M,peer,0.128,49.2931,True,False,registry_reported,registry_reported:minishlab/potion-multilingual-128M,,
ArXivHierarchicalClusteringP2P,v_measure,cointegrated/LaBSE-en-ru,peer,0.129,51.546400000000006,True,False,registry_reported,registry_reported:cointegrated/LaBSE-en-ru,,
ArXivHierarchicalClusteringP2P,v_measure,sergeyzh/LaBSE-ru-turbo,peer,0.129,53.0679,True,False,registry_reported,registry_reported:sergeyzh/LaBSE-ru-turbo,,
ArXivHierarchicalClusteringP2P,v_measure,Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka,peer,0.135,48.3142,True,False,registry_reported,registry_reported:Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka,,
ArXivHierarchicalClusteringP2P,v_measure,silma-ai/silma-embeddding-matryoshka-v0.1,peer,0.135,48.4272,True,False,registry_reported,registry_reported:silma-ai/silma-embeddding-matryoshka-v0.1,,
ArXivHierarchicalClusteringP2P,v_measure,Snowflake/snowflake-arctic-embed-m-long,peer,0.137,57.266799999999996,True,False,registry_reported,registry_reported:Snowflake/snowflake-arctic-embed-m-long,,
ArXivHierarchicalClusteringP2P,v_measure,jinaai/jina-embeddings-v2-base-en,peer,0.137,47.1547,True,False,registry_reported,registry_reported:jinaai/jina-embeddings-v2-base-en,,
ArXivHierarchicalClusteringP2P,v_measure,nomic-ai/nomic-embed-text-v1,peer,0.137,58.9489,True,False,registry_reported,registry_reported:nomic-ai/nomic-embed-text-v1,,
ArXivHierarchicalClusteringP2P,v_measure,nomic-ai/nomic-embed-text-v1-ablated,peer,0.137,57.903400000000005,True,False,registry_reported,registry_reported:nomic-ai/nomic-embed-text-v1-ablated,,
ArXivHierarchicalClusteringP2P,v_measure,nomic-ai/nomic-embed-text-v1-unsupervised,peer,0.137,56.7453,True,False,registry_reported,registry_reported:nomic-ai/nomic-embed-text-v1-unsupervised,,
ArXivHierarchicalClusteringP2P,v_measure,nomic-ai/nomic-embed-text-v1.5,peer,0.137,60.08051520875409,True,False,registry_reported,registry_reported:nomic-ai/nomic-embed-text-v1.5,,
ArXivHierarchicalClusteringP2P,v_measure,llm-semantic-router/Vela-1.0-Omni-Nano,nano,0.163771288,64.88847259326147,True,False,exact_text_component_applicability,vela_release_evaluation:llm-semantic-router/Vela-1.0-Omni-Nano,,474ad3d52f6ee7f818a3dbb6112e3d66c2423542d08228e7996a8cd600bd99a2
ArXivHierarchicalClusteringP2P,v_measure,ibm-granite/granite-embedding-english-r2,peer,0.149,59.0566,True,False,registry_reported,registry_reported:ibm-granite/granite-embedding-english-r2,,
ArXivHierarchicalClusteringP2P,v_measure,Tarka-AIR/Tarka-Embedding-150M-V1,peer,0.156,63.397099999999995,True,False,registry_reported,registry_reported:Tarka-AIR/Tarka-Embedding-150M-V1,,
ArXivHierarchicalClusteringP2P,v_measure,codefuse-ai/F2LLM-v2-160M,peer,0.159,62.4399,True,False,registry_reported,registry_reported:codefuse-ai/F2LLM-v2-160M,,
ArXivHierarchicalClusteringP2P,v_measure,Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka,peer,0.163,48.551,True,False,registry_reported,registry_reported:Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka,,
ArXivHierarchicalClusteringP2P,v_measure,jinaai/jina-embeddings-v5-text-nano,peer,0.212,65.0163,True,False,registry_reported,registry_reported:jinaai/jina-embeddings-v5-text-nano,,
ArXivHierarchicalClusteringP2P,v_measure,BidirLM/BidirLM-270M-Embedding,peer,0.268,61.2727,True,False,registry_reported,registry_reported:BidirLM/BidirLM-270M-Embedding,,
ArXivHierarchicalClusteringP2P,v_measure,microsoft/harrier-oss-v1-270m,peer,0.268,61.477000000000004,True,False,registry_reported,registry_reported:microsoft/harrier-oss-v1-270m,,
ArXivHierarchicalClusteringP2P,v_measure,keeeeenw/MicroLlama-text-embedding,peer,0.272,56.81659433257183,True,False,registry_reported,registry_reported:keeeeenw/MicroLlama-text-embedding,,
ArXivHierarchicalClusteringP2P,v_measure,Gameselo/STS-multilingual-mpnet-base-v2,peer,0.278,51.5432,True,False,registry_reported,registry_reported:Gameselo/STS-multilingual-mpnet-base-v2,,
ArXivHierarchicalClusteringP2P,v_measure,Lajavaness/bilingual-embedding-base,peer,0.278,56.9346,True,False,registry_reported,registry_reported:Lajavaness/bilingual-embedding-base,,
ArXivHierarchicalClusteringP2P,v_measure,Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,peer,0.278,52.660700000000006,True,False,registry_reported,registry_reported:Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,,
ArXivHierarchicalClusteringP2P,v_measure,deepfile/embedder-100p,peer,0.278,58.5614,True,False,registry_reported,registry_reported:deepfile/embedder-100p,,
ArXivHierarchicalClusteringP2P,v_measure,ibm-granite/granite-embedding-278m-multilingual,peer,0.278,54.7465,True,False,registry_reported,registry_reported:ibm-granite/granite-embedding-278m-multilingual,,
ArXivHierarchicalClusteringP2P,v_measure,intfloat/multilingual-e5-base,peer,0.278,56.683136606944075,True,False,registry_reported,registry_reported:intfloat/multilingual-e5-base,,
ArXivHierarchicalClusteringP2P,v_measure,sdadas/mmlw-e5-base,peer,0.278,59.867000000000004,True,False,registry_reported,registry_reported:sdadas/mmlw-e5-base,,
ArXivHierarchicalClusteringP2P,v_measure,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,peer,0.278,55.34276670530136,True,False,registry_reported,registry_reported:sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,
ArXivHierarchicalClusteringP2P,v_measure,Alibaba-NLP/gte-multilingual-base,peer,0.305,57.99437291346836,True,False,registry_reported,registry_reported:Alibaba-NLP/gte-multilingual-base,,
ArXivHierarchicalClusteringP2P,v_measure,Snowflake/snowflake-arctic-embed-m-v2.0,peer,0.305,57.53660000000001,True,False,registry_reported,registry_reported:Snowflake/snowflake-arctic-embed-m-v2.0,,
ArXivHierarchicalClusteringP2P,v_measure,google/embeddinggemma-300m,peer,0.308,63.588,True,False,registry_reported,registry_reported:google/embeddinggemma-300m,,
ArXivHierarchicalClusteringP2P,v_measure,ibm-granite/granite-embedding-311m-multilingual-r2,peer,0.312,57.663799999999995,True,False,registry_reported,registry_reported:ibm-granite/granite-embedding-311m-multilingual-r2,,
ArXivHierarchicalClusteringP2P,v_measure,codefuse-ai/F2LLM-v2-330M,peer,0.334,64.3288,True,False,registry_reported,registry_reported:codefuse-ai/F2LLM-v2-330M,,
ArXivHierarchicalClusteringP2P,v_measure,BAAI/bge-large-en-v1.5,peer,0.335,60.58357599909132,True,False,registry_reported,registry_reported:BAAI/bge-large-en-v1.5,,
ArXivHierarchicalClusteringP2P,v_measure,Snowflake/snowflake-arctic-embed-l,peer,0.335,56.3437,True,False,registry_reported,registry_reported:Snowflake/snowflake-arctic-embed-l,,
ArXivHierarchicalClusteringP2P,v_measure,WhereIsAI/UAE-Large-V1,peer,0.335,59.37910271512732,True,False,registry_reported,registry_reported:WhereIsAI/UAE-Large-V1,,
ArXivHierarchicalClusteringP2P,v_measure,avsolatorio/GIST-large-Embedding-v0,peer,0.335,59.798300000000005,True,False,registry_reported,registry_reported:avsolatorio/GIST-large-Embedding-v0,,
ArXivHierarchicalClusteringP2P,v_measure,consciousAI/cai-lunaris-text-embeddings,peer,0.335,53.353300000000004,True,False,registry_reported,registry_reported:consciousAI/cai-lunaris-text-embeddings,,
ArXivHierarchicalClusteringP2P,v_measure,intfloat/e5-large,peer,0.335,57.22239999999999,True,False,registry_reported,registry_reported:intfloat/e5-large,,
ArXivHierarchicalClusteringP2P,v_measure,intfloat/e5-large-v2,peer,0.335,57.78481103327435,True,False,registry_reported,registry_reported:intfloat/e5-large-v2,,
ArXivHierarchicalClusteringP2P,v_measure,mixedbread-ai/mxbai-embed-large-v1,peer,0.335,60.10625739174296,True,False,registry_reported,registry_reported:mixedbread-ai/mxbai-embed-large-v1,,
ArXivHierarchicalClusteringP2P,v_measure,thenlper/gte-large,peer,0.335,58.6399,True,False,registry_reported,registry_reported:thenlper/gte-large,,
ArXivHierarchicalClusteringP2P,v_measure,w601sxs/b1ade-embed,peer,0.335,61.2698,True,False,registry_reported,registry_reported:w601sxs/b1ade-embed,,
ArXivHierarchicalClusteringP2P,v_measure,aari1995/German_Semantic_STS_V2,peer,0.336,51.6332,True,False,registry_reported,registry_reported:aari1995/German_Semantic_STS_V2,,
ArXivHierarchicalClusteringP2P,v_measure,Tarka-AIR/Tarka-Embedding-350M-V1,peer,0.354,64.6583,True,False,registry_reported,registry_reported:Tarka-AIR/Tarka-Embedding-350M-V1,,
ArXivHierarchicalClusteringP2P,v_measure,deepvk/USER-bge-m3,peer,0.359,54.13210000000001,True,False,registry_reported,registry_reported:deepvk/USER-bge-m3,,
ArXivHierarchicalClusteringP2P,v_measure,ai-forever/ru-en-RoSBERTa,peer,0.404,56.76330000000001,True,False,registry_reported,registry_reported:ai-forever/ru-en-RoSBERTa,,
ArXivHierarchicalClusteringP2P,v_measure,ai-forever/sbert_large_mt_nlu_ru,peer,0.427,46.6827,True,False,registry_reported,registry_reported:ai-forever/sbert_large_mt_nlu_ru,,
ArXivHierarchicalClusteringP2P,v_measure,ai-forever/sbert_large_nlu_ru,peer,0.427,47.1767,True,False,registry_reported,registry_reported:ai-forever/sbert_large_nlu_ru,,
ArXivHierarchicalClusteringP2P,v_measure,deepvk/USER-base,peer,0.427,49.7383,True,False,registry_reported,registry_reported:deepvk/USER-base,,
ArXivHierarchicalClusteringP2P,v_measure,NovaSearch/stella_en_400M_v5,peer,0.435,63.92483709906334,True,False,registry_reported,registry_reported:NovaSearch/stella_en_400M_v5,,
ArXivHierarchicalClusteringP2P,v_measure,VPLabs/SearchMap_Preview,peer,0.435,58.234300000000005,True,False,registry_reported,registry_reported:VPLabs/SearchMap_Preview,,
ArXivHierarchicalClusteringP2P,v_measure,sdadas/mmlw-roberta-large,peer,0.435,60.8105,True,False,registry_reported,registry_reported:sdadas/mmlw-roberta-large,,
ArXivHierarchicalClusteringP2P,v_measure,Omartificial-Intelligence-Space/Arabic-labse-Matryoshka,peer,0.471,52.144999999999996,True,False,registry_reported,registry_reported:Omartificial-Intelligence-Space/Arabic-labse-Matryoshka,,
ArXivHierarchicalClusteringP2P,v_measure,sentence-transformers/LaBSE,peer,0.471,53.44270249920056,True,False,registry_reported,registry_reported:sentence-transformers/LaBSE,,
ArXivHierarchicalClusteringP2P,v_measure,nomic-ai/nomic-embed-text-v2-moe,peer,0.475,59.7252,True,False,registry_reported,registry_reported:nomic-ai/nomic-embed-text-v2-moe,,
ArXivHierarchicalClusteringP2P,v_measure,ai-sage/Giga-Embeddings-instruct-480M-0826,peer,0.484,66.7032,True,False,registry_reported,registry_reported:ai-sage/Giga-Embeddings-instruct-480M-0826,,
ArXivHierarchicalClusteringP2P,v_measure,mixedbread-ai/deepset-mxbai-embed-de-large-v1,peer,0.487,56.833,True,False,registry_reported,registry_reported:mixedbread-ai/deepset-mxbai-embed-de-large-v1,,
ArXivHierarchicalClusteringP2P,v_measure,HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,peer,0.494,58.914699999999996,True,False,registry_reported,registry_reported:HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,,
ArXivHierarchicalClusteringP2P,v_measure,HIT-TMG/KaLM-embedding-multilingual-mini-v1,peer,0.494,59.3345,True,False,registry_reported,registry_reported:HIT-TMG/KaLM-embedding-multilingual-mini-v1,,
ArXivHierarchicalClusteringP2P,v_measure,KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,peer,0.494,63.45525248201162,True,False,registry_reported,registry_reported:KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,,
ArXivHierarchicalClusteringP2P,v_measure,izhx/udever-bloom-560m,peer,0.559,52.5478,True,False,registry_reported,registry_reported:izhx/udever-bloom-560m,,
ArXivHierarchicalClusteringP2P,v_measure,Lajavaness/bilingual-embedding-large,peer,0.56,57.353,True,False,registry_reported,registry_reported:Lajavaness/bilingual-embedding-large,,
ArXivHierarchicalClusteringP2P,v_measure,OrdalieTech/Solon-embeddings-large-0.1,peer,0.56,56.89959999999999,True,False,registry_reported,registry_reported:OrdalieTech/Solon-embeddings-large-0.1,,
ArXivHierarchicalClusteringP2P,v_measure,intfloat/multilingual-e5-large,peer,0.56,55.6856,True,False,registry_reported,registry_reported:intfloat/multilingual-e5-large,,
ArXivHierarchicalClusteringP2P,v_measure,intfloat/multilingual-e5-large-instruct,peer,0.56,62.534993503603,True,False,registry_reported,registry_reported:intfloat/multilingual-e5-large-instruct,,
ArXivHierarchicalClusteringP2P,v_measure,omarelshehy/arabic-english-sts-matryoshka,peer,0.56,52.528200000000005,True,False,registry_reported,registry_reported:omarelshehy/arabic-english-sts-matryoshka,,
ArXivHierarchicalClusteringP2P,v_measure,sdadas/mmlw-e5-large,peer,0.56,59.872400000000006,True,False,registry_reported,registry_reported:sdadas/mmlw-e5-large,,
ArXivHierarchicalClusteringP2P,v_measure,BAAI/bge-m3,peer,0.568,52.79810320966879,True,False,registry_reported,registry_reported:BAAI/bge-m3,,
ArXivHierarchicalClusteringP2P,v_measure,Snowflake/snowflake-arctic-embed-l-v2.0,peer,0.568,57.1874,True,False,registry_reported,registry_reported:Snowflake/snowflake-arctic-embed-l-v2.0,,
ArXivHierarchicalClusteringP2P,v_measure,manu/bge-m3-custom-fr,peer,0.568,54.2435,True,False,registry_reported,registry_reported:manu/bge-m3-custom-fr,,
ArXivHierarchicalClusteringP2P,v_measure,jinaai/jina-embeddings-v3,peer,0.572,58.92914985808295,True,False,registry_reported,registry_reported:jinaai/jina-embeddings-v3,,
ArXivHierarchicalClusteringP2P,v_measure,BidirLM/BidirLM-0.6B-Embedding,peer,0.596,64.3759,True,False,registry_reported,registry_reported:BidirLM/BidirLM-0.6B-Embedding,,
ArXivHierarchicalClusteringP2P,v_measure,IEITYuan/Yuan-embedding-2.0-en,peer,0.596,61.721199999999996,True,False,registry_reported,registry_reported:IEITYuan/Yuan-embedding-2.0-en,,
ArXivHierarchicalClusteringP2P,v_measure,KiteFishAI/Nano-Em1-0.6B-v2,peer,0.596,63.0408,True,False,registry_reported,registry_reported:KiteFishAI/Nano-Em1-0.6B-v2,,
ArXivHierarchicalClusteringP2P,v_measure,KiteFishAI/Nano-Em1-0.6B-v2.1,peer,0.596,66.0464,True,False,registry_reported,registry_reported:KiteFishAI/Nano-Em1-0.6B-v2.1,,
